Round,Table,Players,Decks,Winner
Round 2,93,"Anthony Frederiksson He/Him
Lena Stone She/Her","Naya Yuna
Dimir Midrange",Anthony Frederiksson won 2-1-0
Round 2,94,"skranbets
davinates He/They","Izzet Prowess
Azorius Tempo",skranbets won 2-0-0
Round 2,95,"Sean Hunter He/Him
William La Hay He/Him","Dimir Midrange
Jeskai Control",Sean Hunter won 2-1-0
Round 2,96,"Kasey Fanara
KelS3","Boros Dragons
Sultai Reanimator",KelS3 won 2-0-0
Round 2,97,"Rae Aurelia She/Her
BrandonDrake He/Him","Golgari Ouroboroid
Izzet Prowess",BrandonDrake won 2-0-0
Round 2,98,"Chris Donetz
psdelver","Mono-Red Aggro
Dimir Midrange",psdelver won 2-0-0
Round 2,99,"Zackaryschneider1111
Markus Thibeau He/Him","Izzet Combo
Grixis Monument",Markus Thibeau won 2-0-0
Round 2,100,"Andrew Kidston
Matthew Baros-Steyl He/Him","Izzet Lessons
Izzet Prowess",Andrew Kidston won 2-0-0
Round 2,101,"Théo Jacques-Griffin He/Him
Georges Turcotte He/Him","Temur Prowess
Dimir Reanimator",Théo Jacques-Griffin won 2-0-0
Round 2,102,"LemonHawk
KylC28","Dimir Reanimator
Simic Rhythm",LemonHawk won 2-1-0
Round 2,103,"StevenU He/Him
Adham Momen","Azorius Control
Azorius Tempo",StevenU won 2-0-0
Round 2,104,"Daniel Fournier He/Him
Larry Li","Mono-Green Landfall
Mono-Green Landfall",Daniel Fournier won 2-1-0
Round 2,105,"Doria Keung She/Her
Todder007 He/Him","Azorius
Simic Ouroboroid",Todder007 won 2-0-0
Round 2,106,"Noel Herbert He/Him
Derek Pite","4c Elementals
Izzet Lessons",Derek Pite won 2-1-0
Round 2,107,"Roberto Cibrian Stockbridge He/Him
Peebnut","Izzet Spellementals
Boros Dragons",Roberto Cibrian Stockbridge won 2-0-0
Round 2,108,"Ben Sobol
James Stevenson He/Him","Naya Yuna
Dimir Midrange",Ben Sobol won 2-0-0
